time,closedPnL,leverage,size,Date,timestamp,value,classification
2024-03-12 20:56:00,939.42948,101.2,24524.81,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,28.931448,3.12,756.07,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,34.643246,3.74,906.28,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,0.647703,0.07,16.96,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,269.166861,29.09,7048.8,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,278.396148,30.12,7298.08,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,41.685479,4.51,1092.77,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,40.532431,4.39,1063.65,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,1545.740362,167.78,40648.06,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,28.375161,3.09,748.52,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 20:56:00,1026.702945,112.05,27140.75,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:37:00,272.93661,30.9,7474.4,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,169.265096,20.24,4886.34,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,28.282431,3.39,818.35,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,123.076933,14.77,3565.33,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,123.262149,14.81,3574.84,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,281.038797,33.93,8188.67,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,241.607196,29.24,7056.2,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,25.686648,3.12,752.82,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,143.982979,17.51,4224.81,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,35.639115,4.35,1049.44,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,143.457679,17.51,4224.29,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,569.65113,69.7,16813.73,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,246.854931,30.39,7329.46,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,264.887769,32.61,7864.88,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,142.138008,17.52,4225.3,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,23.388481,2.89,696.92,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,0.646632,0.08,19.29,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,5.65803,0.7,168.8,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,1.374093,0.17,40.99,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,140.816737,17.53,4226.31,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,140.290837,17.53,4225.78,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,27.895221,3.49,841.26,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,78.471907,9.83,2369.42,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,32.72989,4.1,988.26,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,263.276042,32.98,7949.5,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,252.583188,31.72,7645.15,2024-03-12,1710221400,81,Extreme Greed
2024-03-12 23:38:00,38.456694,4.86,1171.11,2024-03-12,1710221400,81,Extreme Greed
